#Release 14.7 - par P.20131013 (nt64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Tue Jan 19 14:19:26 2016

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       chip_map.ncd
#OUTPUT FILE:      chip_pad.csv
#PART TYPE:        xc7a100t
#SPEED GRADE:      -3
#PACKAGE:          csg324
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
A17,,,VCCO_15,,,15,,,,,1.80,,,,
A18,rf_bist_start_val<20>,IOB,IO_L10N_T1_AD11N_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
B1,rf_bist_up_limit<17>,IOB,IO_L9P_T1_DQS_AD7P_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
B2,rf_bist_up_limit<20>,IOB,IO_L10N_T1_AD15N_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
B3,rf_bist_up_limit<19>,IOB,IO_L10P_T1_AD15P_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
B4,rf_bist_up_limit<14>,IOB,IO_L7N_T1_AD6N_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
B5,,,GND,,,,,,,,,,,,
B6,rf_bist_up_limit<4>,IOB,IO_L2N_T0_AD12N_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
B7,rf_bist_up_limit<3>,IOB,IO_L2P_T0_AD12P_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
B8,,IOB33M,IO_L12P_T1_MRCC_16,UNUSED,,16,,,,,,,,,
B9,,IOB33S,IO_L11N_T1_SRCC_16,UNUSED,,16,,,,,,,,,
B10,,,VCCO_16,,,16,,,,,any******,,,,
B11,rf_bist_start_val<7>,IOB,IO_L4P_T0_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
B12,rf_bist_start_val<6>,IOB,IO_L3N_T0_DQS_AD1N_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
B13,rf_bist_start_val<3>,IOB,IO_L2P_T0_AD8P_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
B14,rf_bist_start_val<4>,IOB,IO_L2N_T0_AD8N_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
B15,,,GND,,,,,,,,,,,,
B16,rf_bist_start_val<13>,IOB,IO_L7P_T1_AD2P_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
B17,rf_bist_start_val<14>,IOB,IO_L7N_T1_AD2N_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
B18,rf_bist_start_val<21>,IOB,IO_L10P_T1_AD11P_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
C1,rf_bist_up_limit<31>,IOB,IO_L16N_T2_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
C2,rf_bist_up_limit<30>,IOB,IO_L16P_T2_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
C3,,,VCCO_35,,,35,,,,,1.80,,,,
C4,rf_bist_up_limit<13>,IOB,IO_L7P_T1_AD6P_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
C5,rf_bist_up_limit<2>,IOB,IO_L1N_T0_AD4N_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
C6,rf_bist_up_limit<1>,IOB,IO_L1P_T0_AD4P_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
C7,rf_bist_up_limit<8>,IOB,IO_L4N_T0_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
C8,,,GND,,,,,,,,,,,,
C9,,IOB33M,IO_L11P_T1_SRCC_16,UNUSED,,16,,,,,,,,,
C10,,IOB33S,IO_L13N_T2_MRCC_16,UNUSED,,16,,,,,,,,,
C11,,IOB33M,IO_L13P_T2_MRCC_16,UNUSED,,16,,,,,,,,,
C12,rf_bist_start_val<5>,IOB,IO_L3P_T0_DQS_AD1P_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
C13,,,VCCO_15,,,15,,,,,1.80,,,,
C14,rf_bist_start_val<2>,IOB,IO_L1N_T0_AD0N_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
C15,rf_bist_start_val<17>,IOB,IO_L12N_T1_MRCC_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
C16,,IOB33M,IO_L20P_T3_A20_15,UNUSED,,15,,,,,,,,,
C17,,IOB33S,IO_L20N_T3_A19_15,UNUSED,,15,,,,,,,,,
C18,,,GND,,,,,,,,,,,,
D1,,,GND,,,,,,,,,,,,
D2,rf_bist_up_limit<27>,IOB,IO_L14N_T2_SRCC_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
D3,rf_bist_up_limit<23>,IOB,IO_L12N_T1_MRCC_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
D4,rf_bist_up_limit<15>,IOB,IO_L11N_T1_SRCC_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
D5,clk,IOB,IO_L11P_T1_SRCC_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
D6,,,VCCO_35,,,35,,,,,1.80,,,,
D7,rf_bist_up_limit<12>,IOB,IO_L6N_T0_VREF_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
D8,rf_bist_up_limit<7>,IOB,IO_L4P_T0_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
D9,,IOB33S,IO_L6N_T0_VREF_16,UNUSED,,16,,,,,,,,,
D10,,IOB33S,IO_L19N_T3_VREF_16,UNUSED,,16,,,,,,,,,
D11,,,GND,,,,,,,,,,,,
D12,rf_bist_start_val<11>,IOB,IO_L6P_T0_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
D13,rf_bist_start_val<12>,IOB,IO_L6N_T0_VREF_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
D14,rf_bist_start_val<1>,IOB,IO_L1P_T0_AD0P_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
D15,rf_bist_start_val<23>,IOB,IO_L12P_T1_MRCC_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
D16,,,VCCO_15,,,15,,,,,1.80,,,,
D17,i2si_rtr,IOB,IO_L16N_T2_A27_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
D18,,IOB33S,IO_L21N_T3_DQS_A18_15,UNUSED,,15,,,,,,,,,
E1,i2so_sd,IOB,IO_L18N_T2_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
E2,rf_bist_up_limit<26>,IOB,IO_L14P_T2_SRCC_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
E3,rf_bist_up_limit<22>,IOB,IO_L12P_T1_MRCC_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
E4,,,GND,,,,,,,,,,,,
E5,rf_bist_up_limit<10>,IOB,IO_L5N_T0_AD13N_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
E6,rf_bist_up_limit<9>,IOB,IO_L5P_T0_AD13P_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
E7,rf_bist_up_limit<11>,IOB,IO_L6P_T0_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
E8,,,VCCBATT_0,,,,,,,,,,,,
E9,,,CCLK_0,,,,,,,,,,,,
E10,,,TCK_0,,,,,,,,,,,,
E11,,,TDI_0,,,,,,,,,,,,
E12,,,TMS_0,,,,,,,,,,,,
E13,,,TDO_0,,,,,,,,,,,,
E14,,,GND,,,,,,,,,,,,
E15,rf_bist_start_val<18>,IOB,IO_L11P_T1_SRCC_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
E16,rf_bist_start_val<22>,IOB,IO_L11N_T1_SRCC_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
E17,rf_bist_start_val<31>,IOB,IO_L16P_T2_A28_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
E18,,IOB33M,IO_L21P_T3_DQS_15,UNUSED,,15,,,,,,,,,
F1,rst_n,IOB,IO_L18P_T2_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
F2,,,VCCO_35,,,35,,,,,1.80,,,,
F3,rf_bist_up_limit<25>,IOB,IO_L13N_T2_MRCC_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
F4,rf_bist_up_limit<24>,IOB,IO_L13P_T2_MRCC_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
F5,rf_bist_up_limit<0>,IOB,IO_0_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
F6,i2so_ws,IOB,IO_L19N_T3_VREF_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
F7,,,GND,,,,,,,,,,,,
F8,,,VCCINT,,,,,,,,1.0,,,,
F9,,,GND,,,,,,,,,,,,
F10,,,VCCBRAM,,,,,,,,,,,,
F11,,,GND,,,,,,,,,,,,
F12,,,VCCAUX,,,,,,,,1.8,,,,
F13,rf_bist_start_val<9>,IOB,IO_L5P_T0_AD9P_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
F14,rf_bist_start_val<10>,IOB,IO_L5N_T0_AD9N_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
F15,rf_bist_start_val<27>,IOB,IO_L14P_T2_SRCC_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
F16,rf_bist_start_val<28>,IOB,IO_L14N_T2_SRCC_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
F17,,,GND,,,,,,,,,,,,
F18,,IOB33S,IO_L22N_T3_A16_15,UNUSED,,15,,,,,,,,,
G1,inp_ws,IOB,IO_L17N_T2_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
G2,rf_bist_up_limit<29>,IOB,IO_L15N_T2_DQS_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
G3,trig_fifo_overrun_clr,IOB,IO_L20N_T3_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
G4,filt_rtr,IOB,IO_L20P_T3_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
G5,,,VCCO_35,,,35,,,,,1.80,,,,
G6,i2so_sck,IOB,IO_L19P_T3_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
G7,,,VCCINT,,,,,,,,1.0,,,,
G8,,,GND,,,,,,,,,,,,
G9,,,VCCINT,,,,,,,,1.0,,,,
G10,,,GND,,,,,,,,,,,,
G11,,,VCCBRAM,,,,,,,,,,,,
G12,,,GND,,,,,,,,,,,,
G13,rf_bist_start_val<0>,IOB,IO_0_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
G14,rf_bist_start_val<30>,IOB,IO_L15N_T2_DQS_ADV_B_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
G15,,,VCCO_15,,,15,,,,,1.80,,,,
G16,rf_bist_start_val<19>,IOB,IO_L13N_T2_MRCC_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
G17,trig_fifo_underrun,IOB,IO_L18N_T2_A23_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
G18,,IOB33M,IO_L22P_T3_A17_15,UNUSED,,15,,,,,,,,,
H1,ro_fifo_overrun,IOB,IO_L17P_T2_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
H2,rf_bist_up_limit<28>,IOB,IO_L15P_T2_DQS_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
H3,,,GND,,,,,,,,,,,,
H4,rf_bist_inc<1>,IOB,IO_L21N_T3_DQS_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
H5,rf_bist_inc<7>,IOB,IO_L24N_T3_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
H6,rf_bist_inc<6>,IOB,IO_L24P_T3_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
H7,,,GND,,,,,,,,,,,,
H8,,,VCCINT,,,,,,,,1.0,,,,
H9,,,GNDADC_0,,,,,,,,,,,,
H10,,,VCCADC_0,,,,,,,,,,,,
H11,,,GND,,,,,,,,,,,,
H12,,,VCCAUX,,,,,,,,1.8,,,,
H13,,,GND,,,,,,,,,,,,
H14,rf_bist_start_val<29>,IOB,IO_L15P_T2_DQS_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
H15,,IOB33S,IO_L19N_T3_A21_VREF_15,UNUSED,,15,,,,,,,,,
H16,rf_bist_start_val<25>,IOB,IO_L13P_T2_MRCC_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
H17,ro_fifo_underrun,IOB,IO_L18P_T2_A24_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
H18,,,VCCO_15,,,15,,,,,1.80,,,,
J1,,,VCCO_35,,,35,,,,,1.80,,,,
J2,rf_bist_inc<3>,IOB,IO_L22N_T3_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
J3,rf_bist_inc<2>,IOB,IO_L22P_T3_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
J4,rf_bist_inc<0>,IOB,IO_L21P_T3_DQS_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
J5,inp_sd,IOB,IO_25_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
J6,,,GND,,,,,,,,,,,,
J7,,,VCCINT,,,,,,,,1.0,,,,
J8,,,GND,,,,,,,,,,,,
J9,,,VREFN_0,,,,,,,,,,,,
J10,,IPAD,VP_0,UNUSED,,0,,,,,,,,,
J11,,,VCCINT,,,,,,,,1.0,,,,
J12,,,GND,,,,,,,,,,,,
J13,rf_i2si_en,IOB,IO_L17N_T2_A25_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
J14,rf_mux_en,IOB,IO_L19P_T3_A22_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
J15,,IOB33S,IO_L24N_T3_RS0_15,UNUSED,,15,,,,,,,,,
J16,,,GND,,,,,,,,,,,,
J17,,IOB33M,IO_L23P_T3_FOE_B_15,UNUSED,,15,,,,,,,,,
J18,,IOB33S,IO_L23N_T3_FWE_B_15,UNUSED,,15,,,,,,,,,
K1,rf_bist_inc<5>,IOB,IO_L23N_T3_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
K2,rf_bist_inc<4>,IOB,IO_L23P_T3_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
K3,,IOB33M,IO_L2P_T0_34,UNUSED,,34,,,,,,,,,
K4,,,VCCO_34,,,34,,,,,any******,,,,
K5,,IOB33M,IO_L5P_T0_34,UNUSED,,34,,,,,,,,,
K6,,IOB33,IO_0_34,UNUSED,,34,,,,,,,,,
K7,,,GND,,,,,,,,,,,,
K8,,,VCCINT,,,,,,,,1.0,,,,
K9,,IPAD,VN_0,UNUSED,,0,,,,,,,,,
K10,,,VREFP_0,,,,,,,,,,,,
K11,,,GND,,,,,,,,,,,,
K12,,,VCCAUX,,,,,,,,1.8,,,,
K13,inp_sck,IOB,IO_L17P_T2_A26_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
K14,,,VCCO_15,,,15,,,,,1.80,,,,
K15,,IOB33M,IO_L24P_T3_RS1_15,UNUSED,,15,,,,,,,,,
K16,,IOB33,IO_25_15,UNUSED,,15,,,,,,,,,
K17,,IOB33M,IO_L1P_T0_D00_MOSI_14,UNUSED,,14,,,,,,,,,
K18,,IOB33S,IO_L1N_T0_D01_DIN_14,UNUSED,,14,,,,,,,,,
L1,,IOB33M,IO_L1P_T0_34,UNUSED,,34,,,,,,,,,
L2,,,GND,,,,,,,,,,,,
L3,,IOB33S,IO_L2N_T0_34,UNUSED,,34,,,,,,,,,
L4,,IOB33S,IO_L5N_T0_34,UNUSED,,34,,,,,,,,,
L5,,IOB33S,IO_L6N_T0_VREF_34,UNUSED,,34,,,,,,,,,
L6,,IOB33M,IO_L6P_T0_34,UNUSED,,34,,,,,,,,,
L7,,,VCCINT,,,,,,,,1.0,,,,
L8,,,GND,,,,,,,,,,,,
L9,,,DXN_0,,,,,,,,,,,,
L10,,,DXP_0,,,,,,,,,,,,
L11,,,VCCINT,,,,,,,,1.0,,,,
L12,,,GND,,,,,,,,,,,,
L13,,IOB33M,IO_L6P_T0_FCS_B_14,UNUSED,,14,,,,,,,,,
L14,,IOB33M,IO_L2P_T0_D02_14,UNUSED,,14,,,,,,,,,
L15,,IOB33M,IO_L3P_T0_DQS_PUDC_B_14,UNUSED,,14,,,,,,,,,
L16,,IOB33S,IO_L3N_T0_DQS_EMCCLK_14,UNUSED,,14,,,,,,,,,
L17,,,VCCO_14,,,14,,,,,any******,,,,
L18,,IOB33M,IO_L4P_T0_D04_14,UNUSED,,14,,,,,,,,,
M1,,IOB33S,IO_L1N_T0_34,UNUSED,,34,,,,,,,,,
M2,,IOB33S,IO_L4N_T0_34,UNUSED,,34,,,,,,,,,
M3,,IOB33M,IO_L4P_T0_34,UNUSED,,34,,,,,,,,,
M4,,IOB33M,IO_L16P_T2_34,UNUSED,,34,,,,,,,,,
M5,,,GND,,,,,,,,,,,,
M6,,IOB33M,IO_L18P_T2_34,UNUSED,,34,,,,,,,,,
M7,,,GND,,,,,,,,,,,,
M8,,,VCCINT,,,,,,,,1.0,,,,
M9,,,GND,,,,,,,,,,,,
M10,,,VCCINT,,,,,,,,1.0,,,,
M11,,,GND,,,,,,,,,,,,
M12,,,VCCAUX,,,,,,,,1.8,,,,
M13,,IOB33S,IO_L6N_T0_D08_VREF_14,UNUSED,,14,,,,,,,,,
M14,,IOB33S,IO_L2N_T0_D03_14,UNUSED,,14,,,,,,,,,
M15,,,GND,,,,,,,,,,,,
M16,,IOB33M,IO_L10P_T1_D14_14,UNUSED,,14,,,,,,,,,
M17,,IOB33S,IO_L10N_T1_D15_14,UNUSED,,14,,,,,,,,,
M18,,IOB33S,IO_L4N_T0_D05_14,UNUSED,,14,,,,,,,,,
N1,,IOB33S,IO_L3N_T0_DQS_34,UNUSED,,34,,,,,,,,,
N2,,IOB33M,IO_L3P_T0_DQS_34,UNUSED,,34,,,,,,,,,
N3,,,VCCO_34,,,34,,,,,any******,,,,
N4,,IOB33S,IO_L16N_T2_34,UNUSED,,34,,,,,,,,,
N5,,IOB33M,IO_L13P_T2_MRCC_34,UNUSED,,34,,,,,,,,,
N6,,IOB33S,IO_L18N_T2_34,UNUSED,,34,,,,,,,,,
N7,,,VCCINT,,,,,,,,1.0,,,,
N8,,,GND,,,,,,,,,,,,
N9,,,VCCINT,,,,,,,,1.0,,,,
N10,,,GND,,,,,,,,,,,,
N11,,,VCCINT,,,,,,,,1.0,,,,
N12,,,GND,,,,,,,,,,,,
N13,,,VCCO_14,,,14,,,,,any******,,,,
N14,,IOB33M,IO_L8P_T1_D11_14,UNUSED,,14,,,,,,,,,
N15,,IOB33M,IO_L11P_T1_SRCC_14,UNUSED,,14,,,,,,,,,
N16,,IOB33S,IO_L11N_T1_SRCC_14,UNUSED,,14,,,,,,,,,
N17,,IOB33M,IO_L9P_T1_DQS_14,UNUSED,,14,,,,,,,,,
N18,,,GND,,,,,,,,,,,,
P1,,,GND,,,,,,,,,,,,
P2,,IOB33M,IO_L15P_T2_DQS_34,UNUSED,,34,,,,,,,,,
P3,,IOB33S,IO_L14N_T2_SRCC_34,UNUSED,,34,,,,,,,,,
P4,,IOB33M,IO_L14P_T2_SRCC_34,UNUSED,,34,,,,,,,,,
P5,,IOB33S,IO_L13N_T2_MRCC_34,UNUSED,,34,,,,,,,,,
P6,,,VCCO_34,,,34,,,,,any******,,,,
P7,,,INIT_B_0,,,,,,,,,,,,
P8,,,CFGBVS_0,,,,,,,,,,,,
P9,,,PROGRAM_B_0,,,,,,,,,,,,
P10,,,DONE_0,,,,,,,,,,,,
P11,,,M2_0,,,,,,,,,,,,
P12,,,M0_0,,,,,,,,,,,,
P13,,,M1_0,,,,,,,,,,,,
P14,,IOB33S,IO_L8N_T1_D12_14,UNUSED,,14,,,,,,,,,
P15,,IOB33M,IO_L13P_T2_MRCC_14,UNUSED,,14,,,,,,,,,
P16,,,VCCO_14,,,14,,,,,any******,,,,
P17,,IOB33M,IO_L12P_T1_MRCC_14,UNUSED,,14,,,,,,,,,
P18,,IOB33S,IO_L9N_T1_DQS_D13_14,UNUSED,,14,,,,,,,,,
R1,,IOB33M,IO_L17P_T2_34,UNUSED,,34,,,,,,,,,
R2,,IOB33S,IO_L15N_T2_DQS_34,UNUSED,,34,,,,,,,,,
R3,,IOB33M,IO_L11P_T1_SRCC_34,UNUSED,,34,,,,,,,,,
R4,,,GND,,,,,,,,,,,,
R5,,IOB33S,IO_L19N_T3_VREF_34,UNUSED,,34,,,,,,,,,
R6,,IOB33M,IO_L19P_T3_34,UNUSED,,34,,,,,,,,,
R7,,IOB33M,IO_L23P_T3_34,UNUSED,,34,,,,,,,,,
R8,,IOB33M,IO_L24P_T3_34,UNUSED,,34,,,,,,,,,
R9,,,VCCO_0,,,0,,,,,any******,,,,
R10,,IOB33,IO_25_14,UNUSED,,14,,,,,,,,,
R11,,IOB33,IO_0_14,UNUSED,,14,,,,,,,,,
R12,,IOB33M,IO_L5P_T0_D06_14,UNUSED,,14,,,,,,,,,
R13,,IOB33S,IO_L5N_T0_D07_14,UNUSED,,14,,,,,,,,,
R14,,,GND,,,,,,,,,,,,
R15,,IOB33S,IO_L13N_T2_MRCC_14,UNUSED,,14,,,,,,,,,
R16,,IOB33M,IO_L15P_T2_DQS_RDWR_B_14,UNUSED,,14,,,,,,,,,
R17,,IOB33S,IO_L12N_T1_MRCC_14,UNUSED,,14,,,,,,,,,
R18,,IOB33M,IO_L7P_T1_D09_14,UNUSED,,14,,,,,,,,,
T1,,IOB33S,IO_L17N_T2_34,UNUSED,,34,,,,,,,,,
T2,,,VCCO_34,,,34,,,,,any******,,,,
T3,,IOB33S,IO_L11N_T1_SRCC_34,UNUSED,,34,,,,,,,,,
T4,,IOB33S,IO_L12N_T1_MRCC_34,UNUSED,,34,,,,,,,,,
T5,,IOB33M,IO_L12P_T1_MRCC_34,UNUSED,,34,,,,,,,,,
T6,,IOB33S,IO_L23N_T3_34,UNUSED,,34,,,,,,,,,
T7,,,GND,,,,,,,,,,,,
T8,,IOB33S,IO_L24N_T3_34,UNUSED,,34,,,,,,,,,
T9,,IOB33M,IO_L24P_T3_A01_D17_14,UNUSED,,14,,,,,,,,,
T10,,IOB33S,IO_L24N_T3_A00_D16_14,UNUSED,,14,,,,,,,,,
T11,,IOB33M,IO_L19P_T3_A10_D26_14,UNUSED,,14,,,,,,,,,
T12,,,VCCO_14,,,14,,,,,any******,,,,
T13,,IOB33M,IO_L23P_T3_A03_D19_14,UNUSED,,14,,,,,,,,,
T14,,IOB33M,IO_L14P_T2_SRCC_14,UNUSED,,14,,,,,,,,,
T15,,IOB33S,IO_L14N_T2_SRCC_14,UNUSED,,14,,,,,,,,,
T16,,IOB33S,IO_L15N_T2_DQS_DOUT_CSO_B_14,UNUSED,,14,,,,,,,,,
T17,,,GND,,,,,,,,,,,,
T18,,IOB33S,IO_L7N_T1_D10_14,UNUSED,,14,,,,,,,,,
